,School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Location 1,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA
0,P.S. 101 - BROOKLYN,K,21,Addition,65999000.0,CAP,K101,2360 BENSON AVENUE,Brooklyn,11214.0,BROOKLYN ,"(40.597863, -73.991693)",40.597863,-73.991693,11.0,47.0,302.0,3185973.0,3068750032.0,Bensonhurst East                                                           
2,P.S./I.S. 338 - BROOKLYN,K,22,New,67683691.0,CAP,K338,510 CONEY ISLAND AVE,Brooklyn,11218.0,BROOKLYN ,"(40.645199, -73.97052)",40.645199,-73.97052,12.0,40.0,492.0,3124797.0,3053420006.0,Kensington-Ocean Parkway                                                   
3,PRE-K CENTER @ 369 93RD STREET - BROOKLYN,K,20,New,27637000.0,CAP,K613,369 93RD STREET,Brooklyn,11209.0,BROOKLYN ,"(40.618041, -74.031381)",40.618041,-74.031381,10.0,43.0,58.0,3155119.0,3061030042.0,Bay Ridge                                                                  
4,PRE-K CENTER @ 219 25TH STREET - BROOKLYN,K,15,Lease,8464400.0,CAP,K661,219 25TH STREET,Brooklyn,11232.0,BROOKLYN ,"(40.659882, -73.997016)",40.659882,-73.997016,7.0,38.0,101.0,3336859.0,3006520070.0,Sunset Park West                                                           
5,PRE-K CENTER @ 1223 CONEY ISLAND AVENUE - BROOKLYN,K,21,Lease,6584000.0,CAP,K672,1223 CONEY ISLAND AVENUE,Brooklyn,11230.0,BROOKLYN ,"(40.62782, -73.96574)",40.62782,-73.96574,14.0,45.0,530.0,3179195.0,3066950056.0,Midwood                                                                    
7,P.S. 677 - BROOKLYN,K,84,Lease,3165000.0,CAP,K677,139 MENAHAN STREET,Brooklyn,11221.0,BROOKLYN ,"(40.695717, -73.919473)",40.695717,-73.919473,4.0,37.0,419.0,3325706.0,3033060015.0,Bushwick South                                                             
8,PRE-K CENTER @ 1423 62ND STREET - BROOKLYN,K,20,Lease,24882000.0,CAP,K678,1423 62ND STREET,Brooklyn,11219.0,BROOKLYN ,"(40.625899, -73.996729)",40.625899,-73.996729,11.0,44.0,250.0,3141384.0,3057270010.0,Bensonhurst West                                                           
11,P.S. 884 - BROOKLYN,K,84,Lease,2162000.0,CAP,K884,15 SNYDER AVENUE,Brooklyn,11226.0,BROOKLYN ,"(40.648568, -73.957639)",40.648568,-73.957639,14.0,40.0,794.0,3117232.0,3051030101.0,Erasmus                                                                    
12,I.S. 323 - MANHATTAN,M,2,New,98820000.0,CAP,M323,75 MORTON STREET,Manhattan,10014.0,MANHATTAN,"(40.730999, -74.007191)",40.730999,-74.007191,2.0,3.0,69.0,1010407.0,1006030049.0,West Village                                                               
13,P.S. 342 (RIVERSIDE CENTER) - MANHATTAN,M,3,New,74425721.0,CAP,M342,21 WEST END AVENUE,Manhattan,10023.0,MANHATTAN,"(40.772463, -73.989844)",40.772463,-73.989844,7.0,6.0,151.0,1088870.0,1011717510.0,Lincoln Square                                                             
